40CL	40 CELL LINES
PDWHBR	6 POOLED WHOLE BRAINS
ADENOC	ADENOCARCINOMA
ADENOC	ADENOCARCINOMA.
ADULT	ADULT
ALKCYT	ADULT LEUKOCYTES
ADTPLD	ADULT POOLED
AOLIGO	ANAPLASTIC OLIGODENDROGLIOMA WITH 1P/19Q LOSS
AORTA	AORTA
BSLART	BASILAR ARTERY.
BURKS	BURKITT LYMPHOMA
CRNOMA	CARCINOMA
CHORIO	CHORIOCARCINOMA
CML	CHRONIC MYELOGENOUS LEUKEMIA
CORTX	CORTEX
EMBRYC	EMBRYONAL CARCINOMA
ENDOAC	ENDOMETRIUM ADENOCARCINOMA
EPIDRC	EPIDERMOID CARCINOMA
EPITHC	EPITHELIOID CARCINOMA
FETAL	FETAL
GBM	GLIOBLASTOMA
GBM	GLIOBLASTOMA WITH EGFR AMPLIFICATION
HEART	HEART
HIGHMD	HIGH MDR.
HPCMPS	HIPPOCAMPUS
KIRC	HYPERNEPHROMA
HPTHMS	HYPOTHALAMUS
KIDNEY	KIDNEY
LCC	LARGE CELL CARCINOMA
LCUNDF	LARGE CELL UNDIFFERENTIATED.
LEIOMY	LEIOMYOSARCOMA
LIVER	LIVER
LUNG	LUNG
LYMPHO	LYMPHOMA
MAINBD	MAINLY BODY
MAINHD	MAINLY HEAD
AMMLNM	MELANOTIC MELANOMA
AMMLNM	MELANOTIC MELANOMA.
MCEPIC	MUCOEPIDERMOID CARCINOMA
NEUROB	NEUROBLASTOMA
NORMAL	NORMAL
POOLED	POOLED
PLD3AD	POOLED FROM 3 ADULTS
PLDWHL	POOLED WHOLE
PECLMP	PRE-ECLAMPTIC
KIRC	RENAL CELL ADENOCARCINOMA
RETNOB	RETINOBLASTOMA
RHBDMY	RHABDOMYOSARCOMA
SCLC	SMALL CELL CARCINOMA
SPLEEN	SPLEEN
SCC	SQUAMOUS CELL CARCINOMA
STOMCH	STOMACH
SYMTRK	SYMPATHETIC TRUNK
TERTOC	TERATOCARCINOMA
TESTIS	TESTIS
TUMOR	TUMOR TISSUE
WHLPLD	WHOLE POOLED
ADIPOS	ADIPOSE
ADIPOS	ADIPOSE TISSUE
ADRNAL	ADRENAL
ADRNAL	ADRENAL GLAND
ALZHMR	ALZHEIMER CORTEX
AMYGDL	AMYGDALA
BLADDR	BLADDER
BLOOD	BLOOD
BLDVES	BLOOD VESSELS- BLOOD VESSEL
BNMRRW	BONE MARROW
BRAIN	BRAIN
BREAST	BREAST
BRCA	BREAST CANCER
CDTNUC	CAUDATE NUCLEUS
CRBLLM	CEREBELLUM
CRBLLM	CERREBELUM
CERVIX	CERVIX
COLON	COLON
COLPCC	COLON ENDOTHEL PRIMARY CELL CULTURE
COLMUC	COLON MUCOSA
CRDBLD	CORD BLOOD
CPSCSM	CORPUS CALLOSUM
CORTEX	CORTEX
DRMTUM	DERMOID TUMOR
DNCEPH	DIENCEPHALON
DUODNM	DUODENUM
ENDOMT	ENDOMETRIUM
ENDOCL	ENDOMETRIUM CARCINOMA CELL LINE
ESOPHG	ESOPHAGEAL
ESOPHG	ESOPHAGUS
ESOTUM	ESOPHAGUS TUMOR
EYE	EYE
FTLBRN	FETAL BRAIN
FTLKDY	FETAL KIDNEY
FRLOBE	FRONTAL LOBE
HEART	HEART
HELAS3	HELA S3
LIHC	HEPATOCELLULAR CARCINOMA
HCMPUS	HIPPOCAMPUS
ILLMUC	ILEAL MUCOSA
INSNOMA	INSULINOMA
KIDNEY	KIDNEY
LIVER	LIVER
LUNG	LUNG
LYMPH	LYMPH
LYMPHN	LYMPH NODE
LYMBLC	LYMPHOBLASTOID CELL
LYMBCL	LYMPHOBLASTOID CELL LINE
MMRYGL	MAMMARY GLAND
MLNOMA	MELANOMA (MEWO CELL LINE)
MUSCLE	MUSCLE
NASOGC	NASOPHARYNGEAL CARCINOMA
OVARY	OVARY
PANCRS	PANCREAS
PRCRDM	PERICARDIUM
PERPBL	PERIPHERAL BLOOD
PERPNV	PERIPHERAL NERVE
PERPNV	PERIPHERAL NERVOUS SYSTEM
PITTUM	PITUITARY TUMOR
PLCNTA	PLACENTA
POOLED	POOLED
PRSTAT	PROSTATE
RECTUM	RECTUM
RCTTUM	RECTUM TUMOR
RETINA	RETINA
SLVYGL	SALIVARY GLAND
SKELMS	SKELETAL MUSCLE
SKIN	SKIN
SMLINT	SMALL INTESTINE
SPNCRD	SPINAL CORD
SPLEEN	SPLEEN
STOMCH	STOMACH
STMMUC	STOMACH MUCOSA
SUBNGR	SUBSTANTIA NIGRA
SUBTHN	SUBTHALAMIC NUCLEUS
SYNMKN	SYNOVIAL MEMBRANE (KNEE)
SYNMRA	SYNOVIAL MEMBRANE FROM RHEUMATIOID ARTHRITIS
TERA1	TERA-1
TESTIS	TESTIS
THALMS	THALAMUS
THYMUS	THYMUS
THYRD	THYROID
THYRDG	THYROID GLAND
TONGUE	TONGUE
TRCHEA	TRACHEA
TUMOR	TUMOR
U87MG	U87MG
UTERUS	UTERUS
UTENCC	UTERUS ENDOTHEL PRIMARY CELL CULTURE
VENBLD	VENOUS BLOOD
WHLEMB	WHOLE EMBRYO
